"Name","Country","Age","Height, cm","Weight","Sex","Date of birth","Gold","Silver","Bronze","Total","Sport"
"Samuel Tsegay","Eritrea","24","176","59","M","2/24/1988","0","0","0","0","Athletics"
"Alena Tseliapushkina","Belarus","43","165","58","F","1/22/1969","0","0","0","0","Equestrian"
"Li-Cheng Tseng","Taipei (Chinese Taipei)","25","168","","F","12/26/1986","0","0","0","0","Taekwondo"
"Maria Tsiartsiani","Greece","31","178","67","F","10/21/1980","0","0","0","0","Beach Volleyball"
"Alexandra Tsiavou","Greece","26","178","61","F","9/26/1985","0","0","0","0","Rowing"
"Ivan Tsikhan","Belarus","36","184","104","M","7/24/1976","0","0","0","0","Athletics"
"Ioannis Tsilis","Greece","26","184","87","M","7/15/1986","0","0","0","0","Rowing"
"Rauli Tsirekidze","Georgia","25","174","84","M","5/24/1987","0","0","0","0","Weightlifting"
"Soslan Tsirikhov","Russian Federation","27","195","125","M","11/24/1984","0","0","0","0","Athletics"
"Marharyta Tsishkevich","Belarus","20","180","73","F","2/13/1992","0","0","0","0","Canoe Sprint"
"Stanislau Tsivonchyk","Belarus","27","182","79","M","3/5/1985","0","0","0","0","Athletics"
"Manuchar Tskhadaia","Georgia","27","165","66","M","3/19/1985","0","0","0","0","Wrestling"
"Vasileios Tsolakidis","Greece","32","176","","M","9/9/1979","0","0","0","0","Gymnastics - Artistic"
"Jo-Wilfried Tsonga","France","27","188","91","M","4/17/1985","0","0","0","0","Tennis"
"Adonis Tsotras","Greece","22","184","95","M","5/9/1990","0","0","0","0","Sailing"
"Gustavo Tsuboi","Brazil","27","","63","M","5/31/1985","0","0","0","0","Table Tennis"
"Chi Ho Tsui","Hong Kong, China","22","171","62","M","2/17/1990","0","0","0","0","Athletics"
"Yauhen Tsurkin","Belarus","21","182","72","M","12/9/1990","0","0","0","0","Swimming"
"Koko Tsurumi","Japan","19","141","","F","9/28/1992","0","0","0","0","Gymnastics - Artistic"
"Olena Tsyos","Ukraine","22","166","60","F","5/9/1990","0","0","0","0","Cycling - Track"
"Kai-Wen Tu","Taipei (Chinese Taipei)","21","169","66","M","6/28/1991","0","0","0","0","Judo"
"Nathaniel Tuamoheloa","American Samoa","18","180","88","M","6/4/1994","0","0","0","0","Wrestling"
"Patrick Tuara","Cook Islands","19","168","79","M","3/22/1993","0","0","0","0","Athletics"
"Eduard Tubau","Spain","31","180","77","M","1/6/1981","0","0","0","0","Hockey"
"Olaf Tufte","Norway","36","","","M","4/27/1976","0","0","0","0","Rowing"
"Vladimir Tuganov","Russian Federation","51","","","M","7/17/1961","0","0","0","0","Equestrian"
"Maureen Tuimalealiifano","Samoa","41","175","70","F","10/17/1970","0","0","0","0","Archery"
"Blair Tuke","New Zealand","23","181","77","M","7/25/1989","0","0","0","0","Sailing"
"Ivan Tukhtachev","Russian Federation","23","174","60","M","7/13/1989","0","0","0","0","Athletics"
"Traisy Vivien Tukiet","Malaysia","18","148","50","F","2/17/1994","0","0","0","0","Diving"
"Gabrielle Tuleu","France","24","165","65","F","1/14/1988","0","0","0","0","Canoe Sprint"
"Manueli Tulo","Fiji","22","151","56","M","3/25/1990","0","0","0","0","Weightlifting"
"Alina Tumilovich","Belarus","22","178","","F","4/21/1990","0","0","0","0","Gymnastics - Rhythmic"
"Oguzhan Tuzun","Turkey","29","187","121","M","10/20/1982","0","0","0","0","Shooting"
"Marharyta Tverdohlib","Ukraine","21","179","70","F","6/2/1991","0","0","0","0","Athletics"
"Maja Tvrdy","Slovenia","28","170","59","F","11/20/1983","0","0","0","0","Badminton"
"Elizabeth Tweddle","Great Britain","27","160","","F","4/1/1985","0","0","0","0","Gymnastics - Artistic"
"Emma Twigg","New Zealand","25","182","76","F","3/1/1987","0","0","0","0","Rowing"
"Georgie Twigg","Great Britain","21","170","65","F","11/21/1990","0","0","0","0","Hockey"
"Billy Twomey","Ireland","35","172","75","M","4/14/1977","0","0","0","0","Equestrian"
"Daria Tykhova","Ukraine","26","165","50","F","2/15/1986","0","0","0","0","Shooting"
"Jillian Tyler","Canada","23","152","65","F","9/5/1988","0","0","0","0","Swimming"
"Karolina Tyminska","Poland","27","175","69","F","10/4/1984","0","0","0","0","Athletics"
"Ivan Tymko","Ukraine","33","198","98","M","7/26/1979","0","0","0","0","Rowing"
"Pavlo Tymoshchenko","Ukraine","25","190","75","M","10/13/1986","0","0","0","0","Modern Pentathlon"
"Aisuluu Tynybekova","Kyrgyzstan","19","170","63","F","5/4/1993","0","0","0","0","Wrestling"
"Erik Tysse","Norway","31","","","M","12/4/1980","0","0","0","0","Athletics"
"Georgios Tziallas","Greece","25","190","90","M","7/14/1987","0","0","0","0","Rowing"
"Taehwan Park","Republic of Korea","22","183","76","M","9/27/1989","0","2","0","2","Swimming"
"Taine Paton","South Africa","23","175","72","M","1/4/1989","0","0","0","0","Hockey"
"Takaharu Furukawa","Japan","27","174","81","M","8/9/1984","0","1","0","1","Archery"
"Takuya Haneda","Japan","25","175","67","M","7/17/1987","0","0","0","0","Canoe Slalom"
"Tamara Echegoyen Dominguez","Spain","28","174","72","F","2/17/1984","0","0","0","0","Sailing"
"Tamas Kazi","Hungary","27","180","68","M","5/16/1985","0","0","0","0","Athletics"
"Tamira Paszek","Austria","21","165","62","F","12/6/1990","0","0","0","0","Tennis"
"Tanel Laanmae","Estonia","22","184","89","M","9/29/1989","0","0","0","0","Athletics"
"Tatiana Drozdovskaya","Belarus","33","175","68","F","12/6/1978","0","0","0","0","Sailing"
"Tatyana Dektyareva","Russian Federation","31","173","63","F","5/8/1981","0","0","0","0","Athletics"
"Tayyiba Haneef-Park","United States of America","33","201","88","F","3/23/1979","0","0","0","0","Volleyball"
"Teneale Hatton","New Zealand","22","167","64","F","1/13/1990","0","0","0","0","Canoe Sprint"
"Terrell Gausha","United States of America","24","178","","M","9/9/1987","0","0","0","0","Boxing"
"Terrence Jennings","United States of America","26","178","","M","7/28/1986","0","0","0","0","Taekwondo"
"Thiago Emiliano Da Silva","Brazil","27","183","79","M","9/22/1984","0","0","0","0","Football"
"Thomas Edgar","Australia","23","212","112","M","6/21/1989","0","0","0","0","Volleyball"
"Tia Hellebaut","Belgium","34","182","62","F","2/16/1978","0","0","0","0","Athletics"
"Tiffany Kruger","South Africa","25","178","65","F","7/18/1987","0","0","0","0","Canoe Sprint"
"Tiki Gelana","Ethiopia","24","165","48","F","10/22/1987","0","0","0","0","Athletics"
"Tim Hornsby","United States of America","26","191","88","M","7/20/1986","0","0","0","0","Canoe Sprint"
"Tim Jenniskens","Netherlands","25","186","72","M","9/23/1986","0","0","0","0","Hockey"
"Timofei Hordeichik","Belarus","26","171","63","M","1/4/1986","0","0","0","0","Diving"
"Timothee Heijbrock","Netherlands","26","190","72","M","10/28/1985","0","0","0","0","Rowing"
"Timothy Drummond","South Africa","24","178","81","M","3/5/1988","0","0","0","0","Hockey"
"Timothy Duggan","United States of America","29","173","60","M","11/14/1982","0","0","0","0","Cycling - Road"
"Tjipekapora Herunga","Namibia","24","167","51","F","1/1/1988","0","0","0","0","Athletics"
"Tobias Hauke","Germany","24","183","81","M","9/11/1987","0","0","0","0","Hockey"
"Tomislav Marijanovic","Croatia","30","183","81","M","8/30/1981","0","0","0","0","Judo"
"Tomohiko Hoshina","Philippines","25","180","125","M","7/4/1987","0","0","0","0","Judo"
"Tomoko Fukumi","Japan","27","157","48","F","6/26/1985","0","0","0","0","Judo"
"Tony Parker","France","30","186","84","M","5/17/1982","0","0","0","0","Basketball"
"Travis Passier","Australia","23","207","101","M","4/26/1989","0","0","0","0","Volleyball"
"Troy Dumais","United States of America","32","168","68","M","1/21/1980","0","0","1","1","Diving"
"Trudi Maree","South Africa","23","171","70","F","8/9/1988","0","0","0","0","Swimming"
"Tsimafei Dzeinichenka","Belarus","25","186","96","M","11/5/1986","0","0","0","0","Wrestling"
"Tugba Karakaya","Turkey","21","168","55","F","2/16/1991","0","0","0","0","Athletics"
"Tumurkhuleg Davaadorj","Mongolia","21","172","60","M","9/29/1990","0","0","0","0","Judo"
"Tyson Gay","United States of America","29","178","77","M","8/9/1982","0","0","0","0","Athletics"
"Ivan Ukhov","Russian Federation","26","192","67","M","3/29/1986","0","0","0","0","Athletics"
"Evgeniya Ukolova","Russian Federation","23","181","66","F","5/17/1989","0","0","0","0","Beach Volleyball"
"Rustam Ukumanov","Kazakhstan","26","192","93","M","3/22/1986","0","0","0","0","Water Polo"
"Steffen Uliczka","Germany","28","180","65","M","7/17/1984","0","0","0","0","Athletics"
"Christin Ulrich","Germany","21","150","57","F","9/19/1990","0","0","0","0","Weightlifting"
"Jieun Um","Republic of Korea","25","161","55","F","5/18/1987","0","0","0","0","Wrestling"
"Gadzhi Umarov","Russian Federation","27","186","","M","5/6/1985","0","0","0","0","Taekwondo"
"Heshan Unamboowe","Sri Lanka","20","178","69","M","5/19/1992","0","0","0","0","Swimming"
"Maider Unda Gonzalez de Audicana","Spain","35","176","72","F","7/2/1977","0","0","0","0","Wrestling"
"Quanitta Underwood","United States of America","28","168","","F","5/8/1984","0","0","0","0","Boxing"
"Tobias Unger","Germany","33","180","74","M","7/10/1979","0","0","0","0","Athletics"
"Adrian Ungur","Romania","27","178","73","M","1/22/1985","0","0","0","0","Tennis"
"Miklos Ungvari","Hungary","31","176","66","M","10/15/1980","0","1","0","1","Judo"
"Laura Unsworth","Great Britain","24","157","54","F","3/8/1988","0","0","0","0","Hockey"
"Eric Uptagrafft","United States of America","46","183","95","M","2/16/1966","0","0","0","0","Shooting"
"Sandra Uptagrafft","United States of America","41","155","53","F","4/12/1971","0","0","0","0","Shooting"
"Kazushige Ura","Japan","36","180","74","M","11/10/1975","0","0","0","0","Rowing"
"Rigoberto Uran Uran","Colombia","25","173","62","M","1/26/1987","0","1","0","1","Cycling - Road"
"Munkh-Erdene Uranchimeg","Mongolia","30","175","","M","3/22/1982","0","0","0","0","Boxing"
"Bishindee Urantungalag","Mongolia","35","175","74","F","2/24/1977","0","0","0","0","Archery"
"Robert Urbanek","Poland","25","196","115","M","4/29/1987","0","0","0","0","Athletics"
"Nicolas Uriarte","Argentina","22","191","82","M","3/21/1990","0","0","0","0","Volleyball"
"Sugoi Uriarte","Spain","28","169","66","M","5/14/1984","0","0","0","0","Judo"
"Anzor Urishev","Russian Federation","25","177","84","M","1/23/1987","0","0","0","0","Wrestling"
"Jonathan Urretaviscaya","Uruguay","22","173","64","M","3/19/1990","0","0","0","0","Football"
"Maris Urtans","Latvia","31","187","123","M","2/9/1981","0","0","0","0","Athletics"
"Jade Uru","New Zealand","24","189","88","M","10/20/1987","0","0","0","0","Rowing"
"Storm Uru","New Zealand","27","190","72","M","2/14/1985","0","0","0","0","Rowing"
"Annika Urvikko","Finland","21","157","","F","11/17/1990","0","0","0","0","Gymnastics - Artistic"
"Takashi Usami","Japan","20","178","68","M","5/6/1992","0","0","0","0","Football"
"Dmitry Ushakov","Russian Federation","23","176","","M","8/15/1988","0","1","0","1","Trampoline"
"Vladimir Ushakov","Kazakhstan","30","195","94","M","3/16/1982","0","0","0","0","Water Polo"
"Keisuke Ushiro","Japan","26","196","95","M","7/24/1986","0","0","0","0","Athletics"
"Binnaz Uslu","Turkey","27","165","55","F","3/12/1985","0","0","0","0","Athletics"
"Polen Uslupehlivan","Turkey","21","192","71","F","8/27/1990","0","0","0","0","Volleyball"
"Maryam Usman","Nigeria","21","","76","F","11/9/1990","0","0","0","0","Weightlifting"
"Maria Catalina Usme","Colombia","22","165","65","F","12/25/1989","0","0","0","0","Football"
"Ilona Usovich","Belarus","29","169","59","F","11/14/1982","0","0","0","0","Athletics"
"Sviatlana Usovich","Belarus","31","165","54","F","10/14/1980","0","0","0","0","Athletics"
"Oleksandr Usyk","Ukraine","25","190","","M","1/17/1987","0","0","0","0","Boxing"
"Uladzimir Kazlou","Belarus","27","184","90","M","4/20/1985","0","0","0","0","Athletics"
"Diju V","India","31","","","M","1/4/1981","0","0","0","0","Badminton"
"Iveta Vacenovska","Czech Republic","26","167","56","F","3/22/1986","0","0","0","0","Table Tennis"
"Kristina Vaculik","Canada","20","149","","F","7/9/1992","0","0","0","0","Gymnastics - Artistic"
"Attila Vadkerti","Hungary","30","182","90","M","2/22/1982","0","0","0","0","Handball"
"Lara Vadlau","Austria","18","167","56","F","3/29/1994","0","0","0","0","Sailing"
"Jakub Vadlejch","Czech Republic","21","190","93","M","10/10/1990","0","0","0","0","Athletics"
"Attila Vajda","Hungary","29","179","82","M","3/17/1983","0","0","0","0","Canoe Sprint"
"Donna Vakalis","Canada","32","164","53","F","12/30/1979","0","0","0","0","Modern Pentathlon"
"David Vala","Czech Republic","34","191","96","M","4/17/1978","0","0","0","0","Wrestling"
"Jonas Valanciunas","Lithuania","20","213","111","M","5/6/1992","0","0","0","0","Basketball"
"Gaelle Valcke","Belgium","26","172","64","F","2/20/1986","0","0","0","0","Hockey"
"Ricardo Valderrama","Venezuela","25","164","66","M","1/16/1987","0","0","0","0","Judo"
"Maria Fernanda Valdes","Chile","20","162","75","F","3/17/1992","0","0","0","0","Weightlifting"
"Oscar Valdez Fierro","Mexico","21","167","","M","12/22/1990","0","0","0","0","Boxing"
"Natalia Valeeva","Italy","42","168","63","F","11/15/1969","0","0","0","0","Archery"
"Alejandra Valencia","Mexico","17","176","74","F","10/17/1994","0","0","0","0","Archery"
"Lidia Valentin Perez","Spain","27","169","74","F","2/10/1985","0","0","0","0","Weightlifting"
"Domenico Valentino","Italy","28","171","","M","5/17/1984","0","0","0","0","Boxing"
"Rubens Valeriano","Brazil","32","","","M","8/14/1979","0","0","0","0","Cycling - Mountain Bike"
"Roman Valiyev","Kazakhstan","28","192","78","M","3/27/1984","0","0","0","0","Athletics"
"Amaurys R Valle","Cuba","22","","","M","1/18/1990","0","0","0","0","Athletics"
"Xavier Valles Trias","Spain","32","191","104","M","9/4/1979","0","0","0","0","Water Polo"
"Antoine Valois-Fortier","Canada","22","190","81","M","3/13/1990","0","0","1","1","Judo"
"Ubaldina Valoyes Cuesta","Colombia","30","158","69","F","7/6/1982","0","0","0","0","Weightlifting"
"Alejandro Valverde Belmonte","Spain","32","176","62","M","4/25/1980","0","0","0","0","Cycling - Road"
"Victoria Valyukevich","Russian Federation","30","178","62","F","5/22/1982","0","0","0","0","Athletics"
"Ngoc Tu VAN","Vietnam","24","155","48","F","8/11/1987","0","0","0","0","Judo"
"Philipine van Aanholt","Independent Olympic Athletes","20","170","69","F","5/26/1992","0","0","0","0","Sailing"
"Evi Van Acker","Belgium","26","172","70","F","9/23/1985","0","0","0","0","Sailing"
"Hans van Alphen","Belgium","30","191","92","M","1/12/1982","0","0","0","0","Athletics"
"Naomi van As","Netherlands","29","179","65","F","7/26/1983","0","0","0","0","Hockey"
"Florent van Aubel","Belgium","20","178","71","M","10/25/1991","0","0","0","0","Hockey"
"Greg van Avermaet","Belgium","27","181","72","M","5/17/1985","0","0","0","0","Cycling - Road"
"Tera van Beilen","Canada","19","182","71","F","3/30/1993","0","0","0","0","Swimming"
"Martina van Berkel","Switzerland","23","166","54","F","1/23/1989","0","0","0","0","Swimming"
"Suzaan van Biljon","South Africa","24","178","66","F","4/26/1988","0","0","0","0","Swimming"
"Irvette van Blerk","South Africa","25","169","54","F","7/5/1987","0","0","0","0","Athletics"
"Lucy van Dalen","New Zealand","23","168","53","F","11/18/1988","0","0","0","0","Athletics"
"Joanna van de Winkel","South Africa","30","167","45","F","4/22/1982","0","0","0","0","Cycling - Road"
"Felipe van de Wyngard","Chile","31","179","76","M","5/11/1981","0","0","0","0","Triathlon"
"Daniella van den Berg","Aruba","16","165","61","F","5/24/1996","0","0","0","0","Swimming"
"Raymon van der Biezen","Netherlands","25","182","80","M","1/14/1987","0","0","0","0","Cycling - BMX"
"Cameron van der Burgh","South Africa","24","184","74","M","5/25/1988","1","0","0","1","Swimming"
"Elco van der Geest","Belgium","33","190","100","M","5/4/1979","0","0","0","0","Judo"
"Robert van der Horst","Netherlands","27","181","77","M","10/17/1984","0","0","0","0","Hockey"
"Patrick van der Meer","Netherlands","41","187","79","M","3/23/1971","0","0","0","0","Equestrian"
"Rick van der Ven","Netherlands","21","181","71","M","4/14/1991","0","0","0","0","Archery"
"Maikel van der Vleuten","Netherlands","24","168","58","M","2/10/1988","0","0","0","0","Equestrian"
"Zoe van der Weel","Great Britain","21","161","61","F","11/14/1990","0","0","0","0","Handball"
"Mink van der Weerden","Netherlands","23","179","82","M","10/19/1988","0","0","0","0","Hockey"
"Ellen van Dijk","Netherlands","25","182","74","F","2/11/1987","0","0","0","0","Cycling - Road, Cycling - Track"
"Saskia Loretta Van Erven Garcia","Colombia","24","170","64","F","8/29/1987","0","0","0","0","Fencing"
"Tejay van Garderen","United States of America","23","185","70","M","8/12/1988","0","0","0","0","Cycling - Road"
"Margot van Geffen","Netherlands","22","171","63","F","11/23/1989","0","0","0","0","Hockey"
"Twan van Gendt","Netherlands","20","178","74","M","6/9/1992","0","0","0","0","Cycling - BMX"
"Celine van Gerner","Netherlands","17","156","","F","12/1/1994","0","0","0","0","Gymnastics - Artistic"
"Sophie van Gestel","Netherlands","21","180","65","F","6/29/1991","0","0","0","0","Beach Volleyball"
"Jelle van Gorkom","Netherlands","21","188","88","M","1/5/1991","0","0","0","0","Cycling - BMX"
"Anky van Grunsven","Netherlands","44","170","56","F","1/2/1968","0","0","0","0","Equestrian"
"Gijs van Hoecke","Belgium","20","186","75","M","11/12/1991","0","0","0","0","Cycling - Track"
"Kevin van Hoovels","Belgium","27","184","69","M","7/31/1985","0","0","0","0","Cycling - Mountain Bike"
"Rudi van Houts","Netherlands","28","177","64","M","1/16/1984","0","0","0","0","Cycling - Mountain Bike"
"Benjamin van Hove","Belgium","31","187","85","M","1/17/1981","0","0","0","0","Hockey"
"Marleen van Iersel","Netherlands","24","178","68","F","1/7/1988","0","0","0","0","Beach Volleyball"
"Adam van Koeverden","Canada","30","182","85","M","1/29/1982","0","0","0","0","Canoe Sprint"
"Wannes Van Laer","Belgium","27","181","83","M","3/5/1985","0","0","0","0","Sailing"
"Denisse van Lamoen","Chile","32","157","51","F","9/12/1979","0","0","0","0","Archery"
"Britany van Lange","Guyana","15","180","68","F","11/17/1996","0","0","0","0","Swimming"
"Lieselotte van Lindt","Belgium","23","178","70","F","5/10/1989","0","0","0","0","Hockey"
"Patrick van Luijk","Netherlands","27","189","87","M","9/17/1984","0","0","0","0","Athletics"
"Caia van Maasakker","Netherlands","23","180","67","F","4/5/1989","0","0","0","0","Hockey"
"Kitty van Male","Netherlands","24","170","62","F","6/5/1988","0","0","0","0","Hockey"
"Robyn van Nus","Australia","29","164","60","F","12/10/1982","0","0","0","0","Shooting"
"Anne van Olst","Denmark","50","184","74","F","3/25/1962","0","0","0","0","Equestrian"
"Anne-Sophie van Regemortel","Belgium","27","173","63","F","11/13/1984","0","0","0","0","Hockey"
"Dorian van Rijsselberge","Netherlands","23","190","80","M","11/24/1988","0","0","0","0","Sailing"
"Sharon van Rouwendaal","Netherlands","18","172","64","F","9/9/1993","0","0","0","0","Swimming"
"Rutger van Schaardenburg","Netherlands","24","188","83","M","10/8/1987","0","0","0","0","Sailing"
"Charline van Snick","Belgium","21","157","48","F","9/2/1990","0","0","1","1","Judo"
"Joris van Springel","Belgium","49","171","69","M","2/8/1963","0","0","0","0","Equestrian"
"Elliot van Strydonck","Belgium","24","185","75","M","7/21/1988","0","0","0","0","Hockey"
"Dirk van Tichelt","Belgium","28","173","73","M","6/10/1984","0","0","0","0","Judo"
"Simon van Velthooven","New Zealand","23","185","92","M","12/8/1988","0","0","0","0","Cycling - Track"
"Annemiek van Vleuten","Netherlands","29","168","62","F","10/8/1982","0","0","0","0","Cycling - Road"
"Janine van Wyk","South Africa","25","162","60","F","4/17/1987","0","0","0","0","Football"
"Gideon van Zyl","South Africa","22","180","73","M","11/24/1989","0","0","0","0","Judo"
"L J van Zyl","South Africa","27","182","80","M","7/20/1985","0","0","0","0","Athletics"
"Vincent Vanasch","Belgium","24","180","79","M","12/21/1987","0","0","0","0","Hockey"
"Stijn Vandenbergh","Belgium","28","199","84","M","4/25/1984","0","0","0","0","Cycling - Road"
"Peter Vanderkaay","United States of America","28","193","95","M","2/12/1984","0","0","1","1","Swimming"
"Judith Vandermeiren","Belgium","17","174","63","F","8/10/1994","0","0","0","0","Hockey"
"Arianna Vanderpool-Wallace","Bahamas","22","","","F","3/4/1990","0","0","0","0","Swimming"
"Rachael Vanderwal","Great Britain","29","175","66","F","6/27/1983","0","0","0","0","Basketball"
"Douglas Vandor","Canada","37","180","70","M","8/25/1974","0","0","0","0","Rowing"
"Bora Vang","Turkey","25","177","82","M","4/9/1987","0","0","0","0","Table Tennis"
"Emmanuel Vanluchene","Belgium","19","179","71","M","12/9/1992","0","0","0","0","Swimming"
"Norayr Vardanyan","Armenia","25","175","94","M","5/15/1987","0","0","0","0","Weightlifting"
"Birsel Vardarli","Turkey","28","175","60","F","7/12/1984","0","0","0","0","Basketball"
"Hovhannes Varderesyan","Armenia","23","166","66","M","2/12/1989","0","0","0","0","Wrestling"
"Vishnu Vardhan","India","25","","","M","7/27/1987","0","0","0","0","Tennis"
"Anderson Varejao","Brazil","29","208","115","M","9/28/1982","0","0","0","0","Basketball"
"Peter Varellas","United States of America","27","191","88","M","10/2/1984","0","0","0","0","Water Polo"
"Daniel Varga","Hungary","28","201","95","M","9/25/1983","0","0","0","0","Water Polo"
"Denes Varga","Hungary","25","193","95","M","3/29/1987","0","0","0","0","Water Polo"
"Erik Varga","Slovakia","36","184","80","M","6/9/1976","0","0","0","0","Shooting"
"Miklos Varga","Hungary","24","171","","M","8/26/1987","0","0","0","0","Boxing"
"Richard Varga","Slovakia","23","188","65","M","1/28/1989","0","0","0","0","Triathlon"
"Roland Varga","Croatia","34","196","125","M","10/22/1977","0","0","0","0","Athletics"
"Tamas Varga","Hungary","34","184","72","M","6/17/1978","0","0","0","0","Rowing"
"Tamas Varga","Hungary","37","201","105","M","7/14/1975","0","0","0","0","Water Polo"
"Daniel Vargas","Mexico","28","174","54","M","3/6/1984","0","0","0","0","Athletics"
"Mailin Vargas","Cuba","29","","","F","3/24/1983","0","0","0","0","Athletics"
"Camila Vargas Palomo","El Salvador","25","177","77","F","9/22/1986","0","0","0","0","Rowing"
"Francisco Vargas Ramirez","Puerto Rico","18","","","M","5/4/1994","0","0","0","0","Boxing"
"Annerys Victoria Vargas Valdez","Dominican Republic","30","196","70","F","8/7/1981","0","0","0","0","Volleyball"
"Jacob Stephen Varner","United States of America","26","185","96","M","3/24/1986","0","0","0","0","Wrestling"
"Jessica Varnish","Great Britain","21","167","69","F","11/19/1990","0","0","0","0","Cycling - Track"
"Maria Vasco","Spain","36","157","47","F","12/26/1975","0","0","0","0","Athletics"
"Joana Vasconcelos","Portugal","21","169","65","F","2/22/1991","0","0","0","0","Canoe Sprint"
"Kseniya Vdovina","Russian Federation","25","172","62","F","4/19/1987","0","0","0","0","Athletics"
"Irene Vecchi","Italy","23","170","64","F","6/10/1989","0","0","0","0","Fencing"
"Jacobine Veenhoven","Netherlands","28","183","72","F","1/30/1984","0","0","1","1","Rowing"
"Renuga Veeran","Australia","26","165","61","F","6/20/1986","0","0","0","0","Badminton"
"Tamara Vega","Mexico","19","157","55","F","3/15/1993","0","0","0","0","Modern Pentathlon"
"Rihards Veide","Latvia","20","185","85","M","11/1/1991","0","0","0","0","Cycling - BMX"
"Vanessa Veiga","Spain","33","159","43","F","7/20/1979","0","0","0","0","Athletics"
"Jussi Veikkanen","Finland","31","178","66","M","3/29/1981","0","0","0","0","Cycling - Road"
"Yosbany Veitia Soto","Cuba","20","","","M","3/12/1992","0","0","0","0","Boxing"
"Mario Vekic","Croatia","29","190","94","M","12/27/1982","0","0","0","0","Rowing"
"Almir Velagic","Germany","30","183","140","M","8/22/1981","0","0","0","0","Weightlifting"
"Jose Velasquez","Honduras","22","165","65","M","12/8/1989","0","0","0","0","Football"
"Orianica Velasquez","Colombia","23","170","65","F","8/1/1989","0","0","0","0","Football"
"Yaima Velazquez Falcon","Cuba","25","","","F","4/7/1987","0","0","0","0","Rowing"
"Dana Veldakova","Slovakia","31","179","60","F","6/3/1981","0","0","0","0","Athletics"
"Jana Veldakova","Slovakia","31","178","60","F","6/3/1981","0","0","0","0","Athletics"
"Marleen Veldhuis","Netherlands","33","182","67","F","6/29/1979","0","1","0","1","Swimming"
"Tim Veldt","Netherlands","28","186","78","M","2/14/1984","0","0","0","0","Cycling - Track"
"Anamari Velensek","Slovenia","21","175","77","F","5/15/1991","0","0","0","0","Judo"
"Luis Eduardo Velez","Mexico","26","180","81","M","7/26/1986","0","0","0","0","Archery"
"Bobana Velickovic","Serbia","22","170","62","F","1/25/1990","0","0","0","0","Shooting"
"Sofya Velikaya","Russian Federation","27","170","67","F","6/8/1985","0","1","0","1","Fencing"
"Radoslav Marinov Velikov","Bulgaria","28","162","55","M","9/2/1983","0","0","0","0","Wrestling"
"Carlos Veliz","Cuba","24","","","M","8/12/1987","0","0","0","0","Athletics"
"Stefana Veljkovic","Serbia","22","190","76","F","1/9/1990","0","0","0","0","Volleyball"
"Katrin Velkova","Bulgaria","20","170","","F","8/16/1991","0","0","0","0","Gymnastics - Rhythmic"
"Adam Vella","Australia","41","178","91","M","6/12/1971","0","0","0","0","Shooting"
"Matthijs Vellenga","Netherlands","34","200","93","M","10/29/1977","0","0","0","0","Rowing"
"Joseph Veloce","Canada","23","180","82","M","4/23/1989","0","0","0","0","Cycling - Track"
"Juliana Veloso","Brazil","31","","","F","12/22/1980","0","0","0","0","Diving"
"Tiago Venancio","Portugal","25","193","87","M","7/19/1987","0","0","0","0","Swimming"
"Edgaras Venckaitis","Lithuania","26","171","66","M","12/12/1985","0","0","0","0","Wrestling"
"Gintare Venckauskaite","Lithuania","19","170","54","F","11/4/1992","0","0","0","0","Modern Pentathlon"
"Venelina Veneva-Mateeva","Bulgaria","38","178","57","F","6/13/1974","0","0","0","0","Athletics"
"Simone Venier","Italy","27","197","96","M","8/26/1984","0","0","0","0","Rowing"
"Francisco Jose Ventoso Alberdi","Spain","30","180","81","M","5/6/1982","0","0","0","0","Cycling - Road"
"Haislan Veranes Garcia","Canada","29","175","66","M","3/4/1983","0","0","0","0","Wrestling"
"Jimmy Verbaeys","Belgium","18","168","","M","8/26/1993","0","0","0","0","Gymnastics - Artistic"
"Tonya Lynn Verbeek","Canada","34","165","55","F","8/14/1977","0","0","0","0","Wrestling"
"Luuk Verbij","Netherlands","26","195","112","M","8/2/1986","0","0","0","0","Judo"
"Fernando Verdasco","Spain","28","188","81","M","11/15/1983","0","0","0","0","Tennis"
"Elio Verde","Italy","24","165","60","M","9/10/1987","0","0","0","0","Judo"
"Felix Verdejo Sanchez","Puerto Rico","19","","","M","5/19/1993","0","0","0","0","Boxing"
"Claudia Verdicchio Krause","Germany","37","168","70","F","5/24/1975","0","0","0","0","Shooting"
"Oleg Veretilo","Belarus","24","180","76","M","7/10/1988","0","0","0","0","Football"
"Valentin Verga","Netherlands","22","179","84","M","10/7/1989","0","0","0","0","Hockey"
"Rafail Vergoyazov","Kazakhstan","18","173","60","M","9/17/1993","0","0","0","0","Canoe Slalom"
"Marhinde Verkerk","Netherlands","26","173","78","F","11/21/1985","0","0","0","0","Judo"
"Joeri Verlinden","Netherlands","24","180","73","M","1/22/1988","0","0","0","0","Swimming"
"Hannah Vermeersch","Australia","19","178","76","F","9/10/1992","0","0","0","0","Rowing"
"Valerie Vermeersch","Belgium","26","174","67","F","9/18/1985","0","0","0","0","Hockey"
"Klaas Vermeulen","Netherlands","24","179","79","M","3/4/1988","0","0","0","0","Hockey"
"Martin Verner","Czech Republic","32","194","90","M","3/15/1980","0","0","0","0","Swimming"
